onset	duration	event_type	blink	message
4951055	29.0	blink	1.0	
4951045	48.0	saccade	0.0	
4951093	122.0	fixation	0.0	
4951274	2118.0	blink	1.0	
4951258	2190.0	saccade	0.0	
4953460	326.0	fixation	0.0	
4953776	21.0	saccade	0.0	
4953797	558.0	fixation	0.0	
4954356	20.0	saccade	0.0	
4954376	23.0	fixation	0.0	
4954439	109.0	blink	1.0	
4954399	274.0	saccade	0.0	
4954631	362.0	fixation	0.0	
4954993	44.0	saccade	0.0	
4955038	159.0	fixation	0.0	
4955196	25.0	saccade	0.0	
4955234	244.0	fixation	0.0	
4955479	53.0	saccade	0.0	
4955532	193.0	fixation	0.0	
4955726	16.0	saccade	0.0	
4955744	377.0	fixation	0.0	
4956121	9.0	saccade	0.0	
4956130	3159.0	fixation	0.0	
4958901	29.0	saccade	0.0	
4958931	207.0	fixation	0.0	
4959138	19.0	saccade	0.0	
4959161	264.0	fixation	0.0	
4959422	31.0	saccade	0.0	
4959453	8447.0	fixation	0.0	
4967934	56.0	blink	1.0	
4967911	136.0	saccade	0.0	
4968374				CS
4968061	818.0	fixation	0.0	
4968925	155.0	blink	1.0	
4968880	254.0	saccade	0.0	
4969143	149.0	fixation	0.0	
4969283	28.0	saccade	0.0	
4969312	152.0	fixation	0.0	
4969464	16.0	saccade	0.0	
4969481	178.0	fixation	0.0	
4969660	18.0	saccade	0.0	
4969678	202.0	fixation	0.0	
4969881	29.0	saccade	0.0	
4969910	278.0	fixation	0.0	
4970189	18.0	saccade	0.0	
4970206	27.0	fixation	0.0	
4970269	199.0	blink	1.0	
4970241	277.0	saccade	0.0	
4970513	528.0	fixation	0.0	
4971039	62.0	saccade	0.0	
4971105	23.0	fixation	0.0	
4971150	205.0	blink	1.0	
4971128	285.0	saccade	0.0	
4971433	283.0	fixation	0.0	
4971716	23.0	saccade	0.0	
4971739	270.0	fixation	0.0	
4972009	19.0	saccade	0.0	
4972029	211.0	fixation	0.0	
4972241	20.0	saccade	0.0	
4972261	233.0	fixation	0.0	
4972495	20.0	saccade	0.0	
4972516	267.0	fixation	0.0	
4972783	25.0	saccade	0.0	
4972809	194.0	fixation	0.0	
4973003	11.0	saccade	0.0	
4973015	309.0	fixation	0.0	
4973325	13.0	saccade	0.0	
4973343	248.0	fixation	0.0	
4973591	31.0	saccade	0.0	
4973623	220.0	fixation	0.0	
4973843	25.0	saccade	0.0	
4973871	224.0	fixation	0.0	
4974096	24.0	saccade	0.0	
4974120	228.0	fixation	0.0	
4974348	22.0	saccade	0.0	
4974370	314.0	fixation	0.0	
4974684	24.0	saccade	0.0	
4974712	346.0	fixation	0.0	
4975059	21.0	saccade	0.0	
4975081	351.0	fixation	0.0	
4975433	15.0	saccade	0.0	
4975448	298.0	fixation	0.0	
4975788	102.0	blink	1.0	
4975757	171.0	saccade	0.0	
4975932	172.0	fixation	0.0	
4976105	24.0	saccade	0.0	
4976129	319.0	fixation	0.0	
4976448	8.0	saccade	0.0	
4976456	636.0	fixation	0.0	
4976765	34.0	saccade	0.0	
4976801	1148.0	fixation	0.0	
4977950	21.0	saccade	0.0	
4977970	7639.0	fixation	0.0	
4985651	169.0	blink	1.0	
4985612	263.0	saccade	0.0	
4985885	2610.0	fixation	0.0	
4988485	130.0	saccade	0.0	
4988615	117.0	fixation	0.0	
4988733	49.0	saccade	0.0	
4988782	211.0	fixation	0.0	
4988993	23.0	saccade	0.0	
4989027	262.0	fixation	0.0	
4989290	20.0	saccade	0.0	
4989310	147.0	fixation	0.0	
4989503	230.0	blink	1.0	
4989469	316.0	saccade	0.0	
4989789	4553.0	fixation	0.0	
4994381	136.0	blink	1.0	
4994347	217.0	saccade	0.0	
4994583	214.0	fixation	0.0	
4994779	6.0	saccade	0.0	
4994786	500.0	fixation	0.0	
4995286	6.0	saccade	0.0	
4995292	208.0	fixation	0.0	
4995547	114.0	blink	1.0	
4995502	233.0	saccade	0.0	
4995738	414.0	fixation	0.0	
4996154	26.0	saccade	0.0	
4996180	262.0	fixation	0.0	
4996443	20.0	saccade	0.0	
4996462	475.0	fixation	0.0	
4996974	127.0	blink	1.0	
4996940	207.0	saccade	0.0	
4997164	992.0	fixation	0.0	
4998140	20.0	saccade	0.0	
4998159	324.0	fixation	0.0	
4998484	19.0	saccade	0.0	
4998503	190.0	fixation	0.0	
4998694	21.0	saccade	0.0	
4998715	1045.0	fixation	0.0	
4999873				CS
4999801	123.0	blink	1.0	
4999768	211.0	saccade	0.0	
5000001	350.0	fixation	0.0	
5000354	12.0	saccade	0.0	
5000369	410.0	fixation	0.0	
5000776	22.0	saccade	0.0	
5000798	320.0	fixation	0.0	
5001118	12.0	saccade	0.0	
5001130	454.0	fixation	0.0	
5001584	23.0	saccade	0.0	
5001607	334.0	fixation	0.0	
5001941	23.0	saccade	0.0	
5001972	225.0	fixation	0.0	
5002227	84.0	blink	1.0	
5002193	169.0	saccade	0.0	
5002374	453.0	fixation	0.0	
5002816	22.0	saccade	0.0	
5002839	192.0	fixation	0.0	
5003031	17.0	saccade	0.0	
5003049	455.0	fixation	0.0	
5003503	25.0	saccade	0.0	
5003529	485.0	fixation	0.0	
5004014	17.0	saccade	0.0	
5004032	364.0	fixation	0.0	
5004399	24.0	saccade	0.0	
5004421	480.0	fixation	0.0	
5004933	109.0	blink	1.0	
5004905	190.0	saccade	0.0	
5005090	345.0	fixation	0.0	
5005435	22.0	saccade	0.0	
5005457	352.0	fixation	0.0	
5005809	9.0	saccade	0.0	
5005820	357.0	fixation	0.0	
5006178	21.0	saccade	0.0	
5006199	245.0	fixation	0.0	
5006447	12.0	saccade	0.0	
5006460	316.0	fixation	0.0	
5006777	15.0	saccade	0.0	
5006794	561.0	fixation	0.0	
5007353	18.0	saccade	0.0	
5007372	352.0	fixation	0.0	
5007725	18.0	saccade	0.0	
5007743	202.0	fixation	0.0	
5007946	15.0	saccade	0.0	
5007965	1044.0	fixation	0.0	
5009043	188.0	blink	1.0	
5009012	260.0	saccade	0.0	
5009273	335.0	fixation	0.0	
5009608	53.0	saccade	0.0	
5009672	227.0	fixation	0.0	
5009900	25.0	saccade	0.0	
5009924	334.0	fixation	0.0	
5010258	21.0	saccade	0.0	
5010279	76.0	fixation	0.0	
5010355	32.0	saccade	0.0	
5010387	176.0	fixation	0.0	
5010566	22.0	saccade	0.0	
5010586	111.0	fixation	0.0	
5010728	192.0	blink	1.0	
5010705	293.0	saccade	0.0	
5011016	260.0	fixation	0.0	
5011251	43.0	saccade	0.0	
5011298	571.0	fixation	0.0	
5011864	14.0	saccade	0.0	
5011880	6218.0	fixation	0.0	
5018098	39.0	saccade	0.0	
5018139	1895.0	fixation	0.0	
5020096	110.0	blink	1.0	
5020035	236.0	saccade	0.0	
5020274	203.0	fixation	0.0	
5020479	26.0	saccade	0.0	
5020505	55.0	fixation	0.0	
5020560	29.0	saccade	0.0	
5020590	142.0	fixation	0.0	
